epoch,blooming-feather-17 - _step,blooming-feather-17 - _step__MIN,blooming-feather-17 - _step__MAX,blooming-feather-17 - train/loss,blooming-feather-17 - train/loss__MIN,blooming-feather-17 - train/loss__MAX,blooming-feather-17 - val/loss,blooming-feather-17 - val/loss__MIN,blooming-feather-17 - val/loss__MAX
43,130.5,130,131,0.0000073457185208731056,0.0000073457185208731056,0.0000073457185208731056,0.000006119284147089704,0.000006119284147089704,0.000006119284147089704
44,133.5,133,134,0.000007163804802678619,0.000007163804802678619,0.000007163804802678619,0.000012857137318880438,0.000012857137318880438,0.000012857137318880438
45,136.5,136,137,0.0000068335335474908875,0.0000068335335474908875,0.0000068335335474908875,0.0000061404478830066414,0.0000061404478830066414,0.0000061404478830066414
46,139.5,139,140,0.000008048817765810888,0.000008048817765810888,0.000008048817765810888,0.0000023308272585429348,0.0000023308272585429348,0.0000023308272585429348
47,142.5,142,143,0.000006769811508822729,0.000006769811508822729,0.000006769811508822729,0.0000031223598554610253,0.0000031223598554610253,0.0000031223598554610253
48,145.5,145,146,0.000006070606232692113,0.000006070606232692113,0.000006070606232692113,0.0000013849055062842377,0.0000013849055062842377,0.0000013849055062842377
49,148.5,148,149,0.000006618605456784175,0.000006618605456784175,0.000006618605456784175,0.0000024398065989349473,0.0000024398065989349473,0.0000024398065989349473
50,151.5,151,152,0.0000063400664526993506,0.0000063400664526993506,0.0000063400664526993506,0.00001534833188885612,0.00001534833188885612,0.00001534833188885612
51,154.5,154,155,0.0000068296260984908965,0.0000068296260984908965,0.0000068296260984908965,0.0000042337101844828786,0.0000042337101844828786,0.0000042337101844828786
52,157.5,157,158,0.00001251183537920919,0.00001251183537920919,0.00001251183537920919,0.000006583082774289799,0.000006583082774289799,0.000006583082774289799
53,160.5,160,161,0.0000070129260709707075,0.0000070129260709707075,0.0000070129260709707075,0.000002209739466546801,0.000002209739466546801,0.000002209739466546801
54,163.5,163,164,0.000006781319914585735,0.000006781319914585735,0.000006781319914585735,0.00001101108798230772,0.00001101108798230772,0.00001101108798230772
55,166.5,166,167,0.000006414456527566179,0.000006414456527566179,0.000006414456527566179,0.000003681723721613571,0.000003681723721613571,0.000003681723721613571
56,169.5,169,170,0.000005471805960007652,0.000005471805960007652,0.000005471805960007652,0.000001511836851876443,0.000001511836851876443,0.000001511836851876443
57,172.5,172,173,0.000006146692550679225,0.000006146692550679225,0.000006146692550679225,0.00000869467776542966,0.00000869467776542966,0.00000869467776542966
58,175.5,175,176,0.000005830045017616148,0.000005830045017616148,0.000005830045017616148,0.00000690501554436587,0.00000690501554436587,0.00000690501554436587
59,178.5,178,179,0.000008917391768672163,0.000008917391768672163,0.000008917391768672163,0.000006723380012495449,0.000006723380012495449,0.000006723380012495449
60,181.5,181,182,0.000006316828097310909,0.000006316828097310909,0.000006316828097310909,0.0000011478309472937535,0.0000011478309472937535,0.0000011478309472937535
61,184.5,184,185,0.000006126631581453947,0.000006126631581453947,0.000006126631581453947,0.000003288064575658839,0.000003288064575658839,0.000003288064575658839
62,187.5,187,188,0.000005412832982281106,0.000005412832982281106,0.000005412832982281106,0.000003976258583981158,0.000003976258583981158,0.000003976258583981158
63,190.5,190,191,0.000005897073552546746,0.000005897073552546746,0.000005897073552546746,0.000004769179918601574,0.000004769179918601574,0.000004769179918601574
64,193.5,193,194,0.000004932229058711725,0.000004932229058711725,0.000004932229058711725,0.000003887353460837853,0.000003887353460837853,0.000003887353460837853
65,196.5,196,197,0.000007515360875380461,0.000007515360875380461,0.000007515360875380461,0.0000010868190762362202,0.0000010868190762362202,0.0000010868190762362202
66,199.5,199,200,0.000005573812627149451,0.000005573812627149451,0.000005573812627149451,0.0000014650267189789398,0.0000014650267189789398,0.0000014650267189789398
67,202.5,202,203,0.000005519121643302343,0.000005519121643302343,0.000005519121643302343,0.000002064860155104597,0.000002064860155104597,0.000002064860155104597
68,205.5,205,206,0.000004847871415523069,0.000004847871415523069,0.000004847871415523069,0.000015231825241693884,0.000015231825241693884,0.000015231825241693884
69,208.5,208,209,0.000005413512860405744,0.000005413512860405744,0.000005413512860405744,0.0000045491343528246,0.0000045491343528246,0.0000045491343528246
70,211.5,211,212,0.000004802201201451131,0.000004802201201451131,0.000004802201201451131,0.000001655547819536583,0.000001655547819536583,0.000001655547819536583
71,214.5,214,215,0.000005036310265166807,0.000005036310265166807,0.000005036310265166807,0.00000480852091108698,0.00000480852091108698,0.00000480852091108698
72,217.5,217,218,0.000004888313574826343,0.000004888313574826343,0.000004888313574826343,0.0000014657682662976659,0.0000014657682662976659,0.0000014657682662976659
73,220.5,220,221,0.000004662267224834069,0.000004662267224834069,0.000004662267224834069,0.000006709615449918172,0.000006709615449918172,0.000006709615449918172
74,223.5,223,224,0.00000427308143058743,0.00000427308143058743,0.00000427308143058743,0.00001757907310752133,0.00001757907310752133,0.00001757907310752133
75,226.5,226,227,0.000033891168553547026,0.000033891168553547026,0.000033891168553547026,0.00000400860477955074,0.00000400860477955074,0.00000400860477955074
76,229.5,229,230,0.000006386391613180072,0.000006386391613180072,0.000006386391613180072,0.00001618026187579118,0.00001618026187579118,0.00001618026187579118
77,232.5,232,233,0.000006282409966595129,0.000006282409966595129,0.000006282409966595129,0.000008867217735338184,0.000008867217735338184,0.000008867217735338184
78,235.5,235,236,0.000007017297548143331,0.000007017297548143331,0.000007017297548143331,0.0000033848469689817246,0.0000033848469689817246,0.0000033848469689817246
79,238.5,238,239,0.000005085679034809713,0.000005085679034809713,0.000005085679034809713,0.0000033891386794851823,0.0000033891386794851823,0.0000033891386794851823
80,241.5,241,242,0.000005271124266479228,0.000005271124266479228,0.000005271124266479228,0.000005121072622767423,0.000005121072622767423,0.000005121072622767423
81,244.5,244,245,0.000005267106988426991,0.000005267106988426991,0.000005267106988426991,0.0000014598611488776467,0.0000014598611488776467,0.0000014598611488776467
82,247.5,247,248,0.0000053411764305956565,0.0000053411764305956565,0.0000053411764305956565,0.000005934927622383141,0.000005934927622383141,0.000005934927622383141
83,250.5,250,251,0.0000051316721529761395,0.0000051316721529761395,0.0000051316721529761395,0.0000018554819760272835,0.0000018554819760272835,0.0000018554819760272835
84,253.5,253,254,0.000005176031928630948,0.000005176031928630948,0.000005176031928630948,0.0000013058775094706862,0.0000013058775094706862,0.0000013058775094706862
85,256.5,256,257,0.000004519606026896787,0.000004519606026896787,0.000004519606026896787,0.000008151229163316164,0.000008151229163316164,0.000008151229163316164
86,259.5,259,260,2.992033793112321e-7,2.992033793112321e-7,2.992033793112321e-7,2.2602027588811738e-7,2.2602027588811738e-7,2.2602027588811738e-7
87,262.5,262,263,2.5159382164161664e-7,2.5159382164161664e-7,2.5159382164161664e-7,2.701152060297197e-7,2.701152060297197e-7,2.701152060297197e-7
88,265.5,265,266,2.5027051414376006e-7,2.5027051414376006e-7,2.5027051414376006e-7,2.8593644896632103e-7,2.8593644896632103e-7,2.8593644896632103e-7
89,268.5,268,269,2.2983150923682015e-7,2.2983150923682015e-7,2.2983150923682015e-7,1.9407368726344728e-7,1.9407368726344728e-7,1.9407368726344728e-7
90,271.5,271,272,2.0920389332483214e-7,2.0920389332483214e-7,2.0920389332483214e-7,1.9381889792370716e-7,1.9381889792370716e-7,1.9381889792370716e-7
91,274.5,274,275,2.0300840518448926e-7,2.0300840518448926e-7,2.0300840518448926e-7,1.8996544451350921e-7,1.8996544451350921e-7,1.8996544451350921e-7
92,277.5,277,278,1.908326455729152e-7,1.908326455729152e-7,1.908326455729152e-7,2.629540476930574e-7,2.629540476930574e-7,2.629540476930574e-7
93,280.5,280,281,1.7960709057193272e-7,1.7960709057193272e-7,1.7960709057193272e-7,1.4652212706653762e-7,1.4652212706653762e-7,1.4652212706653762e-7
94,283.5,283,284,1.7976308872281747e-7,1.7976308872281747e-7,1.7976308872281747e-7,1.219222432845551e-7,1.219222432845551e-7,1.219222432845551e-7
95,286.5,286,287,1.673265089993206e-7,1.673265089993206e-7,1.673265089993206e-7,4.6972504168640773e-7,4.6972504168640773e-7,4.6972504168640773e-7
96,289.5,289,290,1.6164432245379866e-7,1.6164432245379866e-7,1.6164432245379866e-7,1.040586079580812e-7,1.040586079580812e-7,1.040586079580812e-7
97,292.5,292,293,1.7318267115780215e-7,1.7318267115780215e-7,1.7318267115780215e-7,1.0036923375990328e-7,1.0036923375990328e-7,1.0036923375990328e-7
98,295.5,295,296,1.5762780099504783e-7,1.5762780099504783e-7,1.5762780099504783e-7,9.943368541679114e-8,9.943368541679114e-8,9.943368541679114e-8
99,298.5,298,299,1.4261683029480228e-7,1.4261683029480228e-7,1.4261683029480228e-7,2.0149473615698428e-7,2.0149473615698428e-7,2.0149473615698428e-7
100,301.5,301,302,1.5276459461706293e-7,1.5276459461706293e-7,1.5276459461706293e-7,1.3580265254586728e-7,1.3580265254586728e-7,1.3580265254586728e-7
101,304.5,304,305,1.4208617418890382e-7,1.4208617418890382e-7,1.4208617418890382e-7,1.3649468053922709e-7,1.3649468053922709e-7,1.3649468053922709e-7
102,307.5,307,308,1.403337391366865e-7,1.403337391366865e-7,1.403337391366865e-7,9.487320960775903e-8,9.487320960775903e-8,9.487320960775903e-8
103,310.5,310,311,1.425688056400688e-7,1.425688056400688e-7,1.425688056400688e-7,1.333787556126781e-7,1.333787556126781e-7,1.333787556126781e-7
104,313.5,313,314,1.346404399215753e-7,1.346404399215753e-7,1.346404399215753e-7,1.256791550324627e-7,1.256791550324627e-7,1.256791550324627e-7
105,316.5,316,317,1.2828149304229566e-7,1.2828149304229566e-7,1.2828149304229566e-7,1.4673456751813444e-7,1.4673456751813444e-7,1.4673456751813444e-7
106,319.5,319,320,1.339080525624134e-7,1.339080525624134e-7,1.339080525624134e-7,9.573424781833008e-8,9.573424781833008e-8,9.573424781833008e-8
107,322.5,322,323,1.2281691688021294e-7,1.2281691688021294e-7,1.2281691688021294e-7,6.93308396870075e-8,6.93308396870075e-8,6.93308396870075e-8
108,325.5,325,326,1.3123683554270045e-7,1.3123683554270045e-7,1.3123683554270045e-7,0.00000387011809300649,0.00000387011809300649,0.00000387011809300649
109,328.5,328,329,1.2681263011807917e-7,1.2681263011807917e-7,1.2681263011807917e-7,1.4687086996855877e-7,1.4687086996855877e-7,1.4687086996855877e-7
110,331.5,331,332,1.2524606691268905e-7,1.2524606691268905e-7,1.2524606691268905e-7,1.3351763937055916e-7,1.3351763937055916e-7,1.3351763937055916e-7
111,334.5,334,335,1.0826088152972575e-7,1.0826088152972575e-7,1.0826088152972575e-7,8.93726985261287e-8,8.93726985261287e-8,8.93726985261287e-8
112,337.5,337,338,1.2362966758094068e-7,1.2362966758094068e-7,1.2362966758094068e-7,1.2235891847969867e-7,1.2235891847969867e-7,1.2235891847969867e-7
113,340.5,340,341,1.2381958495812805e-7,1.2381958495812805e-7,1.2381958495812805e-7,1.1232234936566664e-7,1.1232234936566664e-7,1.1232234936566664e-7
114,343.5,343,344,1.083161596141417e-7,1.083161596141417e-7,1.083161596141417e-7,6.280125172092994e-8,6.280125172092994e-8,6.280125172092994e-8
115,346.5,346,347,1.0854626430500464e-7,1.0854626430500464e-7,1.0854626430500464e-7,9.244406693535124e-8,9.244406693535124e-8,9.244406693535124e-8
116,349.5,349,350,1.2090552755763524e-7,1.2090552755763524e-7,1.2090552755763524e-7,6.779074553508224e-8,6.779074553508224e-8,6.779074553508224e-8
117,352.5,352,353,1.1326954667716033e-7,1.1326954667716033e-7,1.1326954667716033e-7,1.21182249881315e-7,1.21182249881315e-7,1.21182249881315e-7
118,355.5,355,356,1.0618200277960078e-7,1.0618200277960078e-7,1.0618200277960078e-7,1.6272244220833888e-7,1.6272244220833888e-7,1.6272244220833888e-7
119,358.5,358,359,1.1616777048714833e-7,1.1616777048714833e-7,1.1616777048714833e-7,5.6889776131797635e-8,5.6889776131797635e-8,5.6889776131797635e-8
120,361.5,361,362,9.800227304755348e-8,9.800227304755348e-8,9.800227304755348e-8,7.785405138322296e-8,7.785405138322296e-8,7.785405138322296e-8
121,364.5,364,365,1.190032171218366e-7,1.190032171218366e-7,1.190032171218366e-7,2.570143869300378e-7,2.570143869300378e-7,2.570143869300378e-7
122,367.5,367,368,1.0084740057121625e-7,1.0084740057121625e-7,1.0084740057121625e-7,1.4081683318923133e-7,1.4081683318923133e-7,1.4081683318923133e-7
123,370.5,370,371,1.2573211498069617e-7,1.2573211498069617e-7,1.2573211498069617e-7,5.358241777505533e-8,5.358241777505533e-8,5.358241777505533e-8
124,373.5,373,374,8.986788788503275e-8,8.986788788503275e-8,8.986788788503275e-8,1.665331084002378e-7,1.665331084002378e-7,1.665331084002378e-7
125,376.5,376,377,1.0691199513648575e-7,1.0691199513648575e-7,1.0691199513648575e-7,5.6286777639598104e-8,5.6286777639598104e-8,5.6286777639598104e-8
126,379.5,379,380,9.831954641014892e-8,9.831954641014892e-8,9.831954641014892e-8,0.000001473702981977288,0.000001473702981977288,0.000001473702981977288
127,382.5,382,383,1.0942546909301507e-7,1.0942546909301507e-7,1.0942546909301507e-7,1.8479781569324255e-7,1.8479781569324255e-7,1.8479781569324255e-7
128,385.5,385,386,1.0317260384391578e-7,1.0317260384391578e-7,1.0317260384391578e-7,1.4425608449437243e-7,1.4425608449437243e-7,1.4425608449437243e-7
129,388.5,388,389,9.941524222232664e-8,9.941524222232664e-8,9.941524222232664e-8,1.9128252838385825e-7,1.9128252838385825e-7,1.9128252838385825e-7
130,391.5,391,392,1.1548764546979594e-7,1.1548764546979594e-7,1.1548764546979594e-7,4.068320499373635e-8,4.068320499373635e-8,4.068320499373635e-8
131,394.5,394,395,1.0242889336978242e-7,1.0242889336978242e-7,1.0242889336978242e-7,9.82387196036787e-8,9.82387196036787e-8,9.82387196036787e-8
132,397.5,397,398,9.812804075143352e-8,9.812804075143352e-8,9.812804075143352e-8,5.6295812967141494e-8,5.6295812967141494e-8,5.6295812967141494e-8
133,400.5,400,401,8.799809293011417e-8,8.799809293011417e-8,8.799809293011417e-8,1.280416762699564e-7,1.280416762699564e-7,1.280416762699564e-7
134,403.5,403,404,1.1253783281839299e-7,1.1253783281839299e-7,1.1253783281839299e-7,4.959871794699646e-8,4.959871794699646e-8,4.959871794699646e-8
135,406.5,406,407,9.818306145798335e-8,9.818306145798335e-8,9.818306145798335e-8,6.145455395082909e-8,6.145455395082909e-8,6.145455395082909e-8
136,409.5,409,410,1.0223715372233036e-7,1.0223715372233036e-7,1.0223715372233036e-7,4.92054315673828e-8,4.92054315673828e-8,4.92054315673828e-8
137,412.5,412,413,9.133825284757486e-8,9.133825284757486e-8,9.133825284757486e-8,1.0087417063369527e-7,1.0087417063369527e-7,1.0087417063369527e-7
138,415.5,415,416,8.579225612172543e-8,8.579225612172543e-8,8.579225612172543e-8,2.0694961785148593e-7,2.0694961785148593e-7,2.0694961785148593e-7
139,418.5,418,419,1.0336871283925732e-7,1.0336871283925732e-7,1.0336871283925732e-7,5.179390073884831e-8,5.179390073884831e-8,5.179390073884831e-8
140,421.5,421,422,8.840910299483536e-8,8.840910299483536e-8,8.840910299483536e-8,5.03106723580598e-8,5.03106723580598e-8,5.03106723580598e-8
141,424.5,424,425,8.711511762307626e-8,8.711511762307626e-8,8.711511762307626e-8,1.1048297016748164e-7,1.1048297016748164e-7,1.1048297016748164e-7
142,427.5,427,428,8.692757534070373e-8,8.692757534070373e-8,8.692757534070373e-8,7.309564525212176e-8,7.309564525212176e-8,7.309564525212176e-8
143,430.5,430,431,9.044435847563895e-8,9.044435847563895e-8,9.044435847563895e-8,1.557259658506517e-7,1.557259658506517e-7,1.557259658506517e-7
144,433.5,433,434,9.816604164783311e-8,9.816604164783311e-8,9.816604164783311e-8,5.7759489969857e-8,5.7759489969857e-8,5.7759489969857e-8
145,436.5,436,437,8.655697545837953e-8,8.655697545837953e-8,8.655697545837953e-8,6.084991951756899e-8,6.084991951756899e-8,6.084991951756899e-8
146,439.5,439,440,9.281884018251585e-8,9.281884018251585e-8,9.281884018251585e-8,1.375694948320109e-7,1.375694948320109e-7,1.375694948320109e-7
147,442.5,442,443,9.322595861616999e-8,9.322595861616999e-8,9.322595861616999e-8,7.614190893016074e-8,7.614190893016074e-8,7.614190893016074e-8
148,445.5,445,446,9.79723182412395e-8,9.79723182412395e-8,9.79723182412395e-8,6.368015873600735e-8,6.368015873600735e-8,6.368015873600735e-8
149,448.5,448,449,1.302228031192012e-7,1.302228031192012e-7,1.302228031192012e-7,3.994737295105532e-8,3.994737295105532e-8,3.994737295105532e-8
150,451.5,451,452,2.3589455722513244e-8,2.3589455722513244e-8,2.3589455722513244e-8,2.5677408821126597e-8,2.5677408821126597e-8,2.5677408821126597e-8
151,454.5,454,455,2.5225611111337804e-8,2.5225611111337804e-8,2.5225611111337804e-8,3.007775399140675e-8,3.007775399140675e-8,3.007775399140675e-8
152,457.5,457,458,2.555440258702004e-8,2.555440258702004e-8,2.555440258702004e-8,2.3541447391651427e-8,2.3541447391651427e-8,2.3541447391651427e-8
153,460.5,460,461,2.5580859541499353e-8,2.5580859541499353e-8,2.5580859541499353e-8,2.6735399883496282e-8,2.6735399883496282e-8,2.6735399883496282e-8
154,463.5,463,464,2.5332629084535768e-8,2.5332629084535768e-8,2.5332629084535768e-8,2.5107573857279252e-8,2.5107573857279252e-8,2.5107573857279252e-8
155,466.5,466,467,2.5417546453877202e-8,2.5417546453877202e-8,2.5417546453877202e-8,2.554889326103009e-8,2.554889326103009e-8,2.554889326103009e-8
156,469.5,469,470,2.536303729206777e-8,2.536303729206777e-8,2.536303729206777e-8,2.4044092943541535e-8,2.4044092943541535e-8,2.4044092943541535e-8
157,472.5,472,473,2.534014883885324e-8,2.534014883885324e-8,2.534014883885324e-8,2.781415702533071e-8,2.781415702533071e-8,2.781415702533071e-8
158,475.5,475,476,2.5223947166619068e-8,2.5223947166619068e-8,2.5223947166619068e-8,2.5669360048573646e-8,2.5669360048573646e-8,2.5669360048573646e-8
159,478.5,478,479,2.507503365387372e-8,2.507503365387372e-8,2.507503365387372e-8,2.5180927343890985e-8,2.5180927343890985e-8,2.5180927343890985e-8
160,481.5,481,482,2.5083965773533682e-8,2.5083965773533682e-8,2.5083965773533682e-8,2.667760820468601e-8,2.667760820468601e-8,2.667760820468601e-8
161,484.5,484,485,2.495236901620162e-8,2.495236901620162e-8,2.495236901620162e-8,2.7956802414541908e-8,2.7956802414541908e-8,2.7956802414541908e-8
162,487.5,487,488,2.1472017485289724e-8,2.1472017485289724e-8,2.1472017485289724e-8,2.2119702555560208e-8,2.2119702555560208e-8,2.2119702555560208e-8
163,490.5,490,491,2.150461933922744e-8,2.150461933922744e-8,2.150461933922744e-8,2.1923058605753888e-8,2.1923058605753888e-8,2.1923058605753888e-8
164,493.5,493,494,2.1478428097385766e-8,2.1478428097385766e-8,2.1478428097385766e-8,2.1721995792869163e-8,2.1721995792869163e-8,2.1721995792869163e-8
165,496.5,496,497,2.146355109618664e-8,2.146355109618664e-8,2.146355109618664e-8,2.171802719540603e-8,2.171802719540603e-8,2.171802719540603e-8
166,499.5,499,500,2.1478702891607432e-8,2.1478702891607432e-8,2.1478702891607432e-8,2.1965912571393882e-8,2.1965912571393882e-8,2.1965912571393882e-8
167,502.5,502,503,2.1491417488777402e-8,2.1491417488777402e-8,2.1491417488777402e-8,2.1943408647733686e-8,2.1943408647733686e-8,2.1943408647733686e-8
168,505.5,505,506,2.146892278524943e-8,2.146892278524943e-8,2.146892278524943e-8,2.1871307906078118e-8,2.1871307906078118e-8,2.1871307906078118e-8
169,508.5,508,509,2.1455436898349792e-8,2.1455436898349792e-8,2.1455436898349792e-8,2.1910148895228573e-8,2.1910148895228573e-8,2.1910148895228573e-8
170,511.5,511,512,2.1457822865534713e-8,2.1457822865534713e-8,2.1457822865534713e-8,2.1740668621162582e-8,2.1740668621162582e-8,2.1740668621162582e-8
171,514.5,514,515,2.143117417622482e-8,2.143117417622482e-8,2.143117417622482e-8,2.1788522767139646e-8,2.1788522767139646e-8,2.1788522767139646e-8
172,517.5,517,518,2.142555141295852e-8,2.142555141295852e-8,2.142555141295852e-8,2.1688959583724447e-8,2.1688959583724447e-8,2.1688959583724447e-8
173,520.5,520,521,2.1422571223162187e-8,2.1422571223162187e-8,2.1422571223162187e-8,2.1625955120602083e-8,2.1625955120602083e-8,2.1625955120602083e-8
174,523.5,523,524,2.1397239171204943e-8,2.1397239171204943e-8,2.1397239171204943e-8,2.2249594369759875e-8,2.2249594369759875e-8,2.2249594369759875e-8
175,526.5,526,527,2.138861495167169e-8,2.138861495167169e-8,2.138861495167169e-8,2.1829233527048442e-8,2.1829233527048442e-8,2.1829233527048442e-8
176,529.5,529,530,2.1388343666568077e-8,2.1388343666568077e-8,2.1388343666568077e-8,2.168454000648301e-8,2.168454000648301e-8,2.168454000648301e-8
177,532.5,532,533,2.137458707961428e-8,2.137458707961428e-8,2.137458707961428e-8,2.1844777926720255e-8,2.1844777926720255e-8,2.1844777926720255e-8
178,535.5,535,536,2.136191764672649e-8,2.136191764672649e-8,2.136191764672649e-8,2.1778402793703856e-8,2.1778402793703856e-8,2.1778402793703856e-8
