epoch,serene-snow-16 - _step,serene-snow-16 - _step__MIN,serene-snow-16 - _step__MAX,serene-snow-16 - train/loss,serene-snow-16 - train/loss__MIN,serene-snow-16 - train/loss__MAX,serene-snow-16 - val/loss,serene-snow-16 - val/loss__MIN,serene-snow-16 - val/loss__MAX
0,1.5,1,2,0.00021525556881977817,0.00021525556881977817,0.00021525556881977817,0.000050393053927961364,0.000050393053927961364,0.000050393053927961364
1,4.5,4,5,0.000060750867935859955,0.000060750867935859955,0.000060750867935859955,0.00007169167114326599,0.00007169167114326599,0.00007169167114326599
2,7.5,7,8,0.00004405639237862266,0.00004405639237862266,0.00004405639237862266,0.000033851313361998566,0.000033851313361998566,0.000033851313361998566
3,10.5,10,11,0.000034520206201086914,0.000034520206201086914,0.000034520206201086914,0.000013654551858998452,0.000013654551858998452,0.000013654551858998452
4,13.5,13,14,0.000031325977826552736,0.000031325977826552736,0.000031325977826552736,0.00002160211843880948,0.00002160211843880948,0.00002160211843880948
5,16.5,16,17,0.000029828936248886957,0.000029828936248886957,0.000029828936248886957,0.00002101302873625909,0.00002101302873625909,0.00002101302873625909
6,19.5,19,20,0.00013782546483882656,0.00013782546483882656,0.00013782546483882656,0.00007272073392413824,0.00007272073392413824,0.00007272073392413824
7,22.5,22,23,0.000047491198448675634,0.000047491198448675634,0.000047491198448675634,0.00007786769557500538,0.00007786769557500538,0.00007786769557500538
8,25.5,25,26,0.00003705494863231268,0.00003705494863231268,0.00003705494863231268,0.0000466509705859428,0.0000466509705859428,0.0000466509705859428
9,28.5,28,29,0.000029615122097723533,0.000029615122097723533,0.000029615122097723533,0.00001868003752346929,0.00001868003752346929,0.00001868003752346929
10,31.5,31,32,0.00002614354479301471,0.00002614354479301471,0.00002614354479301471,0.000031911890779401054,0.000031911890779401054,0.000031911890779401054
11,34.5,34,35,0.00002692117543780538,0.00002692117543780538,0.00002692117543780538,0.00001689430982862119,0.00001689430982862119,0.00001689430982862119
12,37.5,37,38,0.000024282320026431213,0.000024282320026431213,0.000024282320026431213,0.000022729929846954763,0.000022729929846954763,0.000022729929846954763
13,40.5,40,41,0.00001969114310893062,0.00001969114310893062,0.00001969114310893062,0.00001012253240835251,0.00001012253240835251,0.00001012253240835251
14,43.5,43,44,0.0000194285583787843,0.0000194285583787843,0.0000194285583787843,0.00002973069200340956,0.00002973069200340956,0.00002973069200340956
15,46.5,46,47,0.000016649802494531096,0.000016649802494531096,0.000016649802494531096,0.000015869967986057853,0.000015869967986057853,0.000015869967986057853
16,49.5,49,50,0.00001804530531462832,0.00001804530531462832,0.00001804530531462832,0.0000139822282841923,0.0000139822282841923,0.0000139822282841923
17,52.5,52,53,0.000014668625635102145,0.000014668625635102145,0.000014668625635102145,0.000009989108093345183,0.000009989108093345183,0.000009989108093345183
18,55.5,55,56,0.000014692679725566161,0.000014692679725566161,0.000014692679725566161,0.000006268896062393268,0.000006268896062393268,0.000006268896062393268
