epoch,rich-serenity-26 - _step,rich-serenity-26 - _step__MIN,rich-serenity-26 - _step__MAX,rich-serenity-26 - train/loss,rich-serenity-26 - train/loss__MIN,rich-serenity-26 - train/loss__MAX,rich-serenity-26 - val/loss,rich-serenity-26 - val/loss__MIN,rich-serenity-26 - val/loss__MAX,misunderstood-night-25 - _step,misunderstood-night-25 - _step__MIN,misunderstood-night-25 - _step__MAX,misunderstood-night-25 - train/loss,misunderstood-night-25 - train/loss__MIN,misunderstood-night-25 - train/loss__MAX,misunderstood-night-25 - val/loss,misunderstood-night-25 - val/loss__MIN,misunderstood-night-25 - val/loss__MAX
36,109.5,109,110,3.789567641706688e-7,3.789567641706688e-7,3.789567641706688e-7,3.5831508786160537e-7,3.5831508786160537e-7,3.5831508786160537e-7,109.5,109,110,0.000004519314150060248,0.000004519314150060248,0.000004519314150060248,0.000006636770773717764,0.000006636770773717764,0.000006636770773717764
37,112.5,112,113,3.160867058475942e-7,3.160867058475942e-7,3.160867058475942e-7,2.791051380848878e-7,2.791051380848878e-7,2.791051380848878e-7,112.5,112,113,0.000004533704879030696,0.000004533704879030696,0.000004533704879030696,0.0000016360176510607192,0.0000016360176510607192,0.0000016360176510607192
38,115.5,115,116,3.1136164077448666e-7,3.1136164077448666e-7,3.1136164077448666e-7,3.3541832090774786e-7,3.3541832090774786e-7,3.3541832090774786e-7,115.5,115,116,0.00000420753309045886,0.00000420753309045886,0.00000420753309045886,0.0000011469051569867733,0.0000011469051569867733,0.0000011469051569867733
39,118.5,118,119,2.8978036707501504e-7,2.8978036707501504e-7,2.8978036707501504e-7,3.4210532642298133e-7,3.4210532642298133e-7,3.4210532642298133e-7,118.5,118,119,0.000003953456397508808,0.000003953456397508808,0.000003953456397508808,0.0000015676371074377234,0.0000015676371074377234,0.0000015676371074377234
40,121.5,121,122,2.7040463917247754e-7,2.7040463917247754e-7,2.7040463917247754e-7,2.4309016368145526e-7,2.4309016368145526e-7,2.4309016368145526e-7,121.5,121,122,0.0000036208968940258657,0.0000036208968940258657,0.0000036208968940258657,0.0000028614476514146374,0.0000028614476514146374,0.0000028614476514146374
41,124.5,124,125,2.822857790360226e-7,2.822857790360226e-7,2.822857790360226e-7,1.9914333153220227e-7,1.9914333153220227e-7,1.9914333153220227e-7,124.5,124,125,0.0000035628790205512413,0.0000035628790205512413,0.0000035628790205512413,0.0000029890113594252884,0.0000029890113594252884,0.0000029890113594252884
42,127.5,127,128,2.576531414192647e-7,2.576531414192647e-7,2.576531414192647e-7,4.750187451149071e-7,4.750187451149071e-7,4.750187451149071e-7,127.5,127,128,0.000003830040290390434,0.000003830040290390434,0.000003830040290390434,0.0000011201250705427596,0.0000011201250705427596,0.0000011201250705427596
43,130.5,130,131,2.7255479835509514e-7,2.7255479835509514e-7,2.7255479835509514e-7,2.1689517465592594e-7,2.1689517465592594e-7,2.1689517465592594e-7,130.5,130,131,0.0000032747879827739533,0.0000032747879827739533,0.0000032747879827739533,0.0000030210167531983955,0.0000030210167531983955,0.0000030210167531983955
44,133.5,133,134,2.286246683385274e-7,2.286246683385274e-7,2.286246683385274e-7,3.750789150289874e-7,3.750789150289874e-7,3.750789150289874e-7,133.5,133,134,0.000003370983146636231,0.000003370983146636231,0.000003370983146636231,8.972952748615113e-7,8.972952748615113e-7,8.972952748615113e-7
45,136.5,136,137,2.609725070070527e-7,2.609725070070527e-7,2.609725070070527e-7,1.8940918023040552e-7,1.8940918023040552e-7,1.8940918023040552e-7,136.5,136,137,0.0000032795562751495176,0.0000032795562751495176,0.0000032795562751495176,0.0000019145270885312837,0.0000019145270885312837,0.0000019145270885312837
46,139.5,139,140,2.1765000373576387e-7,2.1765000373576387e-7,2.1765000373576387e-7,1.7733113096642672e-7,1.7733113096642672e-7,1.7733113096642672e-7,139.5,139,140,0.0000034477887929883526,0.0000034477887929883526,0.0000034477887929883526,0.0000016984601545421254,0.0000016984601545421254,0.0000016984601545421254
47,142.5,142,143,2.416701755371081e-7,2.416701755371081e-7,2.416701755371081e-7,4.958154677689706e-7,4.958154677689706e-7,4.958154677689706e-7,142.5,142,143,0.000002838101611955675,0.000002838101611955675,0.000002838101611955675,0.000005207281154366572,0.000005207281154366572,0.000005207281154366572
48,145.5,145,146,2.295593440843989e-7,2.295593440843989e-7,2.295593440843989e-7,5.444151637007147e-7,5.444151637007147e-7,5.444151637007147e-7,145.5,145,146,0.0000033359569739001906,0.0000033359569739001906,0.0000033359569739001906,9.468117691609851e-7,9.468117691609851e-7,9.468117691609851e-7
49,148.5,148,149,2.1277089371272163e-7,2.1277089371272163e-7,2.1277089371272163e-7,7.06695803227861e-7,7.06695803227861e-7,7.06695803227861e-7,148.5,148,149,0.0000027206847393066546,0.0000027206847393066546,0.0000027206847393066546,0.0000026047815410077545,0.0000026047815410077545,0.0000026047815410077545
50,151.5,151,152,2.1071848001253224e-7,2.1071848001253224e-7,2.1071848001253224e-7,1.6595724134465933e-7,1.6595724134465933e-7,1.6595724134465933e-7,151.5,151,152,0.000003454431009751898,0.000003454431009751898,0.000003454431009751898,0.0000015498781510450577,0.0000015498781510450577,0.0000015498781510450577
51,154.5,154,155,2.1194566881822705e-7,2.1194566881822705e-7,2.1194566881822705e-7,3.3500940684144454e-7,3.3500940684144454e-7,3.3500940684144454e-7,154.5,154,155,0.0000028904470067827185,0.0000028904470067827185,0.0000028904470067827185,0.0000018444912123094698,0.0000018444912123094698,0.0000018444912123094698
52,157.5,157,158,2.117082479995526e-7,2.117082479995526e-7,2.117082479995526e-7,1.266836914820758e-7,1.266836914820758e-7,1.266836914820758e-7,157.5,157,158,0.000003034862284483068,0.000003034862284483068,0.000003034862284483068,4.604199646567383e-7,4.604199646567383e-7,4.604199646567383e-7
53,160.5,160,161,1.9865286067080827e-7,1.9865286067080827e-7,1.9865286067080827e-7,1.8295157760470535e-7,1.8295157760470535e-7,1.8295157760470535e-7,160.5,160,161,0.0000033232691536028344,0.0000033232691536028344,0.0000033232691536028344,3.3745533212221305e-7,3.3745533212221305e-7,3.3745533212221305e-7
54,163.5,163,164,2.1527150730469669e-7,2.1527150730469669e-7,2.1527150730469669e-7,1.9415829438695985e-7,1.9415829438695985e-7,1.9415829438695985e-7,163.5,163,164,0.000002763578540667346,0.000002763578540667346,0.000002763578540667346,0.0000058185346670836554,0.0000058185346670836554,0.0000058185346670836554
55,166.5,166,167,1.867064324324058e-7,1.867064324324058e-7,1.867064324324058e-7,1.9384644047826824e-7,1.9384644047826824e-7,1.9384644047826824e-7,166.5,166,167,0.0000026830233363270105,0.0000026830233363270105,0.0000026830233363270105,0.0000019573104854451316,0.0000019573104854451316,0.0000019573104854451316
56,169.5,169,170,1.9333648271113867e-7,1.9333648271113867e-7,1.9333648271113867e-7,2.0346345496327613e-7,2.0346345496327613e-7,2.0346345496327613e-7,169.5,169,170,0.0000028178043670572287,0.0000028178043670572287,0.0000028178043670572287,0.0000022523689842135162,0.0000022523689842135162,0.0000022523689842135162
57,172.5,172,173,1.9954961049423014e-7,1.9954961049423014e-7,1.9954961049423014e-7,1.515506616739657e-7,1.515506616739657e-7,1.515506616739657e-7,172.5,172,173,0.0000034405028507850614,0.0000034405028507850614,0.0000034405028507850614,0.0000021017924387576174,0.0000021017924387576174,0.0000021017924387576174
58,175.5,175,176,1.811522343980549e-7,1.811522343980549e-7,1.811522343980549e-7,2.1202585799733776e-7,2.1202585799733776e-7,2.1202585799733776e-7,175.5,175,176,0.0000024788914432899975,0.0000024788914432899975,0.0000024788914432899975,0.0000010068863764304524,0.0000010068863764304524,0.0000010068863764304524
59,178.5,178,179,1.7966085122225e-7,1.7966085122225e-7,1.7966085122225e-7,1.7173618772075575e-7,1.7173618772075575e-7,1.7173618772075575e-7,178.5,178,179,0.000002588307901812323,0.000002588307901812323,0.000002588307901812323,7.178717651549365e-7,7.178717651549365e-7,7.178717651549365e-7
60,181.5,181,182,1.7032447785535065e-7,1.7032447785535065e-7,1.7032447785535065e-7,1.0702711313659945e-7,1.0702711313659945e-7,1.0702711313659945e-7,181.5,181,182,0.0000030752787006101867,0.0000030752787006101867,0.0000030752787006101867,0.0000028544874525054853,0.0000028544874525054853,0.0000028544874525054853
61,184.5,184,185,1.922505851976424e-7,1.922505851976424e-7,1.922505851976424e-7,2.0990535229765403e-7,2.0990535229765403e-7,2.0990535229765403e-7,184.5,184,185,0.0000027904992795667343,0.0000027904992795667343,0.0000027904992795667343,0.000006826127351846733,0.000006826127351846733,0.000006826127351846733
62,187.5,187,188,1.8456815906472024e-7,1.8456815906472024e-7,1.8456815906472024e-7,2.3810140826374506e-7,2.3810140826374506e-7,2.3810140826374506e-7,187.5,187,188,0.0000029988637918934036,0.0000029988637918934036,0.0000029988637918934036,0.000003616355929075046,0.000003616355929075046,0.000003616355929075046
63,190.5,190,191,1.7475252529232605e-7,1.7475252529232605e-7,1.7475252529232605e-7,1.722068363336908e-7,1.722068363336908e-7,1.722068363336908e-7,190.5,190,191,0.00008580559811000812,0.00008580559811000812,0.00008580559811000812,0.000035922275727891,0.000035922275727891,0.000035922275727891
64,193.5,193,194,1.7055458853225745e-7,1.7055458853225745e-7,1.7055458853225745e-7,1.3686711180073527e-7,1.3686711180073527e-7,1.3686711180073527e-7,193.5,193,194,0.000017284102917240596,0.000017284102917240596,0.000017284102917240596,0.000018152755816263402,0.000018152755816263402,0.000018152755816263402
65,196.5,196,197,1.6601480277813358e-7,1.6601480277813358e-7,1.6601480277813358e-7,2.603211886282949e-7,2.603211886282949e-7,2.603211886282949e-7,196.5,196,197,0.00001018564091387445,0.00001018564091387445,0.00001018564091387445,0.000011479447191784643,0.000011479447191784643,0.000011479447191784643
66,199.5,199,200,1.7527902195153494e-7,1.7527902195153494e-7,1.7527902195153494e-7,1.3093753440412263e-7,1.3093753440412263e-7,1.3093753440412263e-7,199.5,199,200,0.000007116131302006302,0.000007116131302006302,0.000007116131302006302,0.000004333075135671666,0.000004333075135671666,0.000004333075135671666
67,202.5,202,203,1.7346952472745609e-7,1.7346952472745609e-7,1.7346952472745609e-7,2.4486829508706165e-7,2.4486829508706165e-7,2.4486829508706165e-7,202.5,202,203,0.000006566561877758053,0.000006566561877758053,0.000006566561877758053,0.000026109984107949106,0.000026109984107949106,0.000026109984107949106
68,205.5,205,206,1.6505156641801415e-7,1.6505156641801415e-7,1.6505156641801415e-7,9.559156370787895e-8,9.559156370787895e-8,9.559156370787895e-8,205.5,205,206,0.000005528771231368251,0.000005528771231368251,0.000005528771231368251,0.0000028187711792575016,0.0000028187711792575016,0.0000028187711792575016
69,208.5,208,209,1.5701574387949011e-7,1.5701574387949011e-7,1.5701574387949011e-7,1.1232640891890868e-7,1.1232640891890868e-7,1.1232640891890868e-7,208.5,208,209,0.000004956431722631408,0.000004956431722631408,0.000004956431722631408,0.000004585654005442784,0.000004585654005442784,0.000004585654005442784
70,211.5,211,212,1.501305908660952e-7,1.501305908660952e-7,1.501305908660952e-7,1.1460029613722427e-7,1.1460029613722427e-7,1.1460029613722427e-7,211.5,211,212,6.120181270028295e-7,6.120181270028295e-7,6.120181270028295e-7,5.826334927111378e-7,5.826334927111378e-7,5.826334927111378e-7
71,214.5,214,215,1.670608631216769e-7,1.670608631216769e-7,1.670608631216769e-7,6.754785462961795e-8,6.754785462961795e-8,6.754785462961795e-8,214.5,214,215,5.490577220975027e-7,5.490577220975027e-7,5.490577220975027e-7,5.110441018597473e-7,5.110441018597473e-7,5.110441018597473e-7
72,217.5,217,218,1.598368932333285e-7,1.598368932333285e-7,1.598368932333285e-7,1.153267697415877e-7,1.153267697415877e-7,1.153267697415877e-7,217.5,217,218,4.862717574909578e-7,4.862717574909578e-7,4.862717574909578e-7,4.225713994121439e-7,4.225713994121439e-7,4.225713994121439e-7
73,220.5,220,221,1.5841049204976992e-7,1.5841049204976992e-7,1.5841049204976992e-7,1.030813776333453e-7,1.030813776333453e-7,1.030813776333453e-7,220.5,220,221,4.262219083596555e-7,4.262219083596555e-7,4.262219083596555e-7,3.9678596492193455e-7,3.9678596492193455e-7,3.9678596492193455e-7
74,223.5,223,224,1.486607191745834e-7,1.486607191745834e-7,1.486607191745834e-7,1.8068082351429847e-7,1.8068082351429847e-7,1.8068082351429847e-7,223.5,223,224,3.878348632762287e-7,3.878348632762287e-7,3.878348632762287e-7,3.709723624365204e-7,3.709723624365204e-7,3.709723624365204e-7
75,226.5,226,227,1.497552667282246e-7,1.497552667282246e-7,1.497552667282246e-7,1.029457324943992e-7,1.029457324943992e-7,1.029457324943992e-7,226.5,226,227,3.5314284588061944e-7,3.5314284588061944e-7,3.5314284588061944e-7,3.0436832408825255e-7,3.0436832408825255e-7,3.0436832408825255e-7
76,229.5,229,230,1.4716360305458396e-7,1.4716360305458396e-7,1.4716360305458396e-7,1.8278034861030123e-7,1.8278034861030123e-7,1.8278034861030123e-7,229.5,229,230,3.2128799809942587e-7,3.2128799809942587e-7,3.2128799809942587e-7,3.568627994081374e-7,3.568627994081374e-7,3.568627994081374e-7
77,232.5,232,233,1.4248704606779226e-7,1.4248704606779226e-7,1.4248704606779226e-7,7.594114202304069e-8,7.594114202304069e-8,7.594114202304069e-8,232.5,232,233,3.0248405088031644e-7,3.0248405088031644e-7,3.0248405088031644e-7,2.6780590240625243e-7,2.6780590240625243e-7,2.6780590240625243e-7
78,235.5,235,236,1.6473006155384195e-7,1.6473006155384195e-7,1.6473006155384195e-7,7.929534113914446e-8,7.929534113914446e-8,7.929534113914446e-8,235.5,235,236,2.823748612220659e-7,2.823748612220659e-7,2.823748612220659e-7,2.5101727290807616e-7,2.5101727290807616e-7,2.5101727290807616e-7
79,238.5,238,239,1.4978565778536873e-7,1.4978565778536873e-7,1.4978565778536873e-7,8.637361093138452e-8,8.637361093138452e-8,8.637361093138452e-8,238.5,238,239,2.627257218412996e-7,2.627257218412996e-7,2.627257218412996e-7,2.1257525565650917e-7,2.1257525565650917e-7,2.1257525565650917e-7
80,241.5,241,242,1.5824626186857137e-7,1.5824626186857137e-7,1.5824626186857137e-7,1.283326564191785e-7,1.283326564191785e-7,1.283326564191785e-7,241.5,241,242,2.5012237485732927e-7,2.5012237485732927e-7,2.5012237485732927e-7,2.506987935859457e-7,2.506987935859457e-7,2.506987935859457e-7
81,244.5,244,245,1.387971107814867e-7,1.387971107814867e-7,1.387971107814867e-7,8.247135067684427e-8,8.247135067684427e-8,8.247135067684427e-8,244.5,244,245,2.460892617861966e-7,2.460892617861966e-7,2.460892617861966e-7,2.669884422732364e-7,2.669884422732364e-7,2.669884422732364e-7
82,247.5,247,248,1.4094898689969688e-7,1.4094898689969688e-7,1.4094898689969688e-7,1.1287035653050814e-7,1.1287035653050814e-7,1.1287035653050814e-7,247.5,247,248,2.313545184521333e-7,2.313545184521333e-7,2.313545184521333e-7,2.559269739692489e-7,2.559269739692489e-7,2.559269739692489e-7
83,250.5,250,251,1.5763115960901943e-7,1.5763115960901943e-7,1.5763115960901943e-7,1.083043858844286e-7,1.083043858844286e-7,1.083043858844286e-7,250.5,250,251,2.2567649223465213e-7,2.2567649223465213e-7,2.2567649223465213e-7,1.9265382243225334e-7,1.9265382243225334e-7,1.9265382243225334e-7
84,253.5,253,254,1.2848882291859428e-7,1.2848882291859428e-7,1.2848882291859428e-7,8.703468120269034e-8,8.703468120269034e-8,8.703468120269034e-8,253.5,253,254,2.0663547674984537e-7,2.0663547674984537e-7,2.0663547674984537e-7,2.0310578010393853e-7,2.0310578010393853e-7,2.0310578010393853e-7
85,256.5,256,257,1.454292781619852e-7,1.454292781619852e-7,1.454292781619852e-7,1.106277143868088e-7,1.106277143868088e-7,1.106277143868088e-7,256.5,256,257,2.1276998498425444e-7,2.1276998498425444e-7,2.1276998498425444e-7,1.8714347613555378e-7,1.8714347613555378e-7,1.8714347613555378e-7
86,259.5,259,260,1.4163469727712594e-7,1.4163469727712594e-7,1.4163469727712594e-7,7.31656620186757e-8,7.31656620186757e-8,7.31656620186757e-8,259.5,259,260,1.9823784573740388e-7,1.9823784573740388e-7,1.9823784573740388e-7,1.8529447968837813e-7,1.8529447968837813e-7,1.8529447968837813e-7
87,262.5,262,263,1.3615030838292056e-7,1.3615030838292056e-7,1.3615030838292056e-7,4.326510008863082e-7,4.326510008863082e-7,4.326510008863082e-7,262.5,262,263,1.9369457790676226e-7,1.9369457790676226e-7,1.9369457790676226e-7,1.74356457116919e-7,1.74356457116919e-7,1.74356457116919e-7
88,265.5,265,266,1.328900450005914e-7,1.328900450005914e-7,1.328900450005914e-7,8.284251807402744e-8,8.284251807402744e-8,8.284251807402744e-8,265.5,265,266,1.8971532332313736e-7,1.8971532332313736e-7,1.8971532332313736e-7,1.534714225157765e-7,1.534714225157765e-7,1.534714225157765e-7
89,268.5,268,269,1.401493760607094e-7,1.401493760607094e-7,1.401493760607094e-7,8.486438582612553e-8,8.486438582612553e-8,8.486438582612553e-8,268.5,268,269,1.8126629762742787e-7,1.8126629762742787e-7,1.8126629762742787e-7,1.8144669919044815e-7,1.8144669919044815e-7,1.8144669919044815e-7
